rule,segment,parameter,adjustment
AML-CHG,CORP,pattern_deviation,3
AML-FTF,CORP,transaction_velocity,4
AML-MNT,IND,transaction_frequency,2
AML-AUG,CORP,consecutive_inc,5
AML-CHG,IND,pattern_deviation,2
AML-FTF,CORP,high_risk_country_count,8
AML-CHG,CORP,activity_ratio_change,1
AML-CHG,IND,volume_increase,3
AML-MNT,CORP,transaction_frequency,3
AML-MNT,CORP,destination_count,6
AML-AUG,IND,seasonal_factor,1
AML-CHG,CORP,volume_increase,6
AML-AUG,IND,peak_deviation,2
AML-FTF,IND,foreign_transaction_ratio,1
AML-AUG,CORP,peak_deviation,3
AML-FTF,IND,transaction_velocity,2
AML-MNT,IND,destination_count,1
AML-AUG,IND,consecutive_inc,1
AML-TUA,CORP,transaction_count,1
AML-FTF,CORP,foreign_transaction_ratio,1
AML-TUA,IND,transaction_count,3
AML-AUG,CORP,seasonal_factor,1
AML-FTF,IND,high_risk_country_count,2
AML-CHG,IND,activity_ratio_change,1
AML-TUA,CORP,activity_value,1
AML-TUA,IND,avg_transaction_size,1
AML-TUA,CORP,avg_transaction_size,1
AML-MNT,IND,activity_value,1
AML-MNT,CORP,activity_value,1
AML-TUA,IND,activity_value,1
