rule,segment,parameter,adjustment
AML-MNT,IND,activity_value,10
AML-TUA,CORP,activity_value,9
AML-CHG,CORP,volume_increase,8
AML-CHG,IND,pattern_deviation,8
AML-TUA,CORP,avg_transaction_size,7
AML-AUG,IND,seasonal_factor,7
AML-AUG,CORP,consecutive_inc,7
AML-TUA,IND,avg_transaction_size,6
AML-MNT,IND,destination_count,6
AML-MNT,CORP,activity_value,6
AML-MNT,CORP,transaction_frequency,3
AML-FTF,CORP,high_risk_country_count,3
AML-FTF,IND,high_risk_country_count,3
AML-MNT,IND,transaction_frequency,2
AML-CHG,IND,volume_increase,2
AML-CHG,CORP,pattern_deviation,1
AML-AUG,IND,peak_deviation,1
AML-CHG,IND,activity_ratio_change,1
AML-MNT,CORP,destination_count,1
AML-CHG,CORP,activity_ratio_change,0
AML-FTF,CORP,transaction_velocity,0
AML-AUG,CORP,seasonal_factor,-1
AML-FTF,IND,transaction_velocity,-1
AML-FTF,CORP,foreign_transaction_ratio,-1
AML-AUG,IND,consecutive_inc,-2
AML-AUG,CORP,peak_deviation,-2
AML-TUA,IND,transaction_count,-2
AML-TUA,CORP,transaction_count,-4
AML-FTF,IND,foreign_transaction_ratio,-5
AML-TUA,IND,activity_value,-5
